Index,Record,Filename,Name,URL,Group,Library,Calcite,Chlorite,Dolomite,Goethite,Gypsum,Hematite,Illite+Muscovite,Kaolinite,Montmorillonite,Vermiculite,Iron Oxide,Clay,Carbonate,Sulfate,Sulfide,Artifical Materials,Vegetation,Coating,Biotite
62,3666,group.1um/fe2+_olivine-fine-gr,Olivine GDS71.a Fo91 65um W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Olivine_GDS71.a_Fo91_65um_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
63,4278,group.1um/carbonate_rhodochrosite,Rhodochrosite HS338.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Rhodochrosite_HS338.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
64,4560,group.1um/fe2+generic_carbonate_siderite1,Siderite HS271.3B W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Siderite_HS271.3B_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
65,4362,group.1um/fe2+generic_amphibole_riebeckite,Riebeckite NMNH122689 Amph W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Riebeckite_NMNH122689_Amph_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
66,1386,group.1um/fe3+fe2+_sulfate_coquimbite,Coquimbite GDS22 W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Coquimbite_GDS22_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,-1,,,,,
67,1374,group.1um/fe3+fe2+_sulfate_copiapite,Copiapite GDS21 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Copiapite_GDS21_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,-1,,,,,
68,1134,group.1um/copper_chrysocolla,Chrysocolla HS297.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chrysocolla_HS297.3B_ASDFRb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
69,3498,group.1um/ree_neodymium_oxide,Neodymium_Oxide GDS34 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Neodymium_Oxide_GDS34_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
70,4410,group.1um/ree_samarium_oxide,Samarium_Oxide GDS36 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Samarium_Oxide_GDS36_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
71,708,group.1um/fe2+generic_axinite,Axinite HS342.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Axinite_HS342.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
72,4728,group.1um/fe2+generic_staurolite,Staurolite HS188.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Staurolite_HS188.3B_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
73,216,group.1um/fe2+generic_almandine,Almandine WS479 Garnet W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Almandine_WS479_Garnet_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
74,678,group.1um/fe2+_pyroxene_augite,Augite NMNH120049 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Augite_NMNH120049_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
75,810,group.1um/fe2+_pyroxene.bronzite,Bronzite HS9.3B Pyroxene W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Bronzite_HS9.3B_Pyroxene_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
76,858,group.1um/fe2+generic_sulfate_butlerite,Butlerite GDS25 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Butlerite_GDS25_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
77,882,group.1um/fe2+_feldspar.bytownite,Bytownite HS106.3B Plagio W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Bytownite_HS106.3B_Plagio_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
78,1002,group.1um/sulfide_copper_chalcopyrite,Chalcopyrite HS431.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chalcopyrite_HS431.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,-1,,,,
79,1122,group.1um/fe2+_chromite,Chromite HS281.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chromite_HS281.3B_ASDFRc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
80,1164,group.1um/sulfide_cinnabar,Cinnabar HS133.3B W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Cinnabar_HS133.3B_BECKc_AREF.html,1,splib06,,,,,,,,,,,,,,,-1,,,,
81,1458,group.1um/copper_oxide_cuprite,Cuprite HS127.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Cuprite_HS127.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
82,6156,group.1um/fe3+mn_desert.varnish1,Desert_Varnish GDS141 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Desert_Varnish_GDS141_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,-1,
83,6162,group.1um/fe3+mn_desert.varnish2,Desert_Varnish GDS78A Rhy W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Desert_Varnish_GDS78A_Rhy_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,-1,
84,1644,group.1um/fe2+_pyroxene_enstatite,Enstatite NMNH128288 W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Enstatite_NMNH128288_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
85,2088,group.1um/fe2+_pyroxene_hedenbergite,Hedenbergite NMNH119197 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hedenbergite_NMNH119197_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
86,2796,group.1um/sulfate_lazurite,Lazurite HS418.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Lazurite_HS418.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,-1,,,,,
87,2928,group.1um/fe3+_maghemite,Maghemite GDS81 Syn (M-3) W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Maghemite_GDS81_Syn_(M-3)_BECKb_AREF.html,1,splib06,,,,,,0.85,,,,,,,,,,,,,
88,2940,group.1um/magnetite,Magnetite HS195.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Magnetite_HS195.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
89,4158,group.1um/mn_oxide_pyrolusite,Pyrolusite HS138.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pyrolusite_HS138.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
90,3042,group.1um/fe2+_feldspar_microcline,Microcline HS103.3B Feldspar W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Microcline_HS103.3B_Feldspar_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
91,132,group.1um/fe2+_feldspar_albite,Albite HS143.3B Plagioclase W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Albite_HS143.3B_Plagioclase_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
92,3852,group.1um/fe2+_feldspar_orthoclase,Orthoclase NMNH142137 Fe W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Orthoclase_NMNH142137_Fe_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,
93,3882,group.1um/inosilicate_pectolite,Pectolite NMNH94865.a W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pectolite_NMNH94865.a_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
94,4314,group.1um/mn2+_rhodonite,Rhodonite NMNHC6148 >250um W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Rhodonite_NMNHC6148_gt250um_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
95,4776,group.1um/sulfur,Sulfur GDS94 Reagent W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Sulfur_GDS94_Reagent_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,
96,7128,group.2um/organic_vegetation-dry-grass-long,Dry_Long_Grass AV87-2 W1R1Ba,No available USGS Spectral Library 7 Description Reference,2,splib06,,,,,,,,,,,,,,,,,-1,,
97,7248,group.2um/organic_vegetation-dry-grass-golden,Grass_Golden_Dry GDS480 W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Grass_Golden_Dry_GDS480_ASDFRa_AREF.html,2,splib06,,,,,,,,,,,,,,,,,-1,,
98,6912,group.2um/organic_vegetation-dry-wood,Plywood GDS365 Fresh Pine W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Plywood_GDS365_Fresh_Pine_ASDFRa_AREF.html,2,splib06,,,,,,,,,,,,,,,,,-1,,
99,6864,group.2um/organic_plastic-tarp1,Plastic_Tarp GDS340 Blu_Wovn W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Plastic_Tarp_GDS340_Blu_Wovn_ASDFRa_AREF.html,2,splib06,,,,,,,,,,,,,,,,-1,,,
100,6876,group.2um/organic_plastic-vinyl,Plastic_Vinyl GDS372 White W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Plastic_Vinyl_GDS372_White_ASDFRa_AREF.html,2,splib06,,,,,,,,,,,,,,,,-1,,,
101,6558,group.2um/organic_fiberglass-roofing,Fiberglass GDS337 Grn Roofng W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Fiberglass_GDS337_Grn_Roofng_ASDFRa_AREF.html,2,splib06,,,,,,,,,,,,,,,,,,,
102,6936,group.2um/organic_plastic-polystyrene,Polystyrene GDS345 BluInsul W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Polystyrene_GDS345_BluInsul_ASDFRa_AREF.html,2,splib06,,,,,,,,,,,,,,,,-1,,,
103,6816,group.2um/organic_plastic-pete,Plastic_PETE GDS380 Clear W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Plastic_PETE_GDS380_Clear_ASDFRa_AREF.html,2,splib06,,,,,,,,,,,,,,,,-1,,,
104,6810,group.2um/organic_plastic-pete2,Plastic_PETE GDS379 TrnslBrn W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Plastic_PETE_GDS379_TrnslBrn_ASDFRa_AREF.html,2,splib06,,,,,,,,,,,,,,,,-1,,,
